,posicion,nombre,corr,1ro,2do,3ro,4to,5to,EF%_1,EF%_2al5
0,1,GONCALVES FRANCISCO LEANDRO,246,55,53,30,28,19,22.36,52.85
1,2,FALERO PABLO G,268,41,40,40,30,32,15.3,52.99
2,3,ORTEGA PAVON EDUARDO,200,33,26,26,22,14,16.5,44
3,4,MOREYRA WILSON R,187,32,28,15,18,20,17.11,43.32
4,5,ENRIQUE BRIAN R,152,21,20,29,14,11,13.82,48.68
5,6,CORIA FACUNDO M,157,21,26,12,20,17,13.38,47.77
6,7,BONASOLA GABRIEL L,180,20,19,18,28,21,11.11,47.78
7,8,DOMINGOS ALTAIR,145,19,14,23,20,18,13.1,51.72
8,9,CABRERA LUCIANO E,133,18,10,10,9,17,13.53,34.59
9,10,CALVENTE GUSTAVO E,73,16,9,5,10,9,21.92,45.21
10,11,VILCHES FERNANDO M,123,16,11,10,15,11,13.01,38.21
11,12,VILLAGRA JUAN C,103,15,14,9,12,13,14.56,46.6
12,13,CARRIZO PABLO D,128,14,12,8,18,9,10.94,36.72
13,14,PEREYRA WILLIAM,116,13,15,11,17,14,11.21,49.14
14,15,CABRERA ANIBAL J,66,12,7,6,5,7,18.18,37.88
